SequenceID,Pipeline,LibraryTube,LibraryBarcode,ExtractID,SampleID,Final Library Concentration,Volume Added to Pool (uL),Seq ID,Run ID
HDZ-262-S165,16S,4,16S4,HDZ-262-E1,HDZ-262,,,PL008,MIN_16_2024-8-16
HDZ-263-S166,16S,5,16S5,HDZ-263-E1,HDZ-263,,,PL008,MIN_16_2024-8-16
HDZ-264-S167,16S,6,16S6,HDZ-264-E1,HDZ-264,,,PL008,MIN_16_2024-8-16
HDZ-332-S168,16S,7,16S7,HDZ-332-E1,HDZ-332,,,PL008,MIN_16_2024-8-16
HDZ-333-S169,16S,8,16S8,HDZ-333-E1,HDZ-333,,,PL008,MIN_16_2024-8-16
HDZ-341-S170,16S,9,16S9,HDZ-341-E1,HDZ-341,,,PL008,MIN_16_2024-8-16
HDZ-342-S171,16S,10,16S10,HDZ-342-E1,HDZ-342,,,PL008,MIN_16_2024-8-16
HDZ-343-S172,16S,11,16S11,HDZ-343-E1,HDZ-343,,,PL008,MIN_16_2024-8-16
HDZ-349-S173,16S,12,16S12,HDZ-349-E1,HDZ-349,,,PL008,MIN_16_2024-8-16
HDZ-350-S174,16S,13,16S13,HDZ-350-E1,HDZ-350,,,PL008,MIN_16_2024-8-16
HDZ-351-S175,16S,14,16S14,HDZ-351-E1,HDZ-351,,,PL008,MIN_16_2024-8-16
HDZ-352-S176,16S,15,16S15,HDZ-352-E1,HDZ-352,,,PL008,MIN_16_2024-8-16
HDZ-354-S177,16S,16,16S16,HDZ-354-E1,HDZ-354,,,PL008,MIN_16_2024-8-16
HDZ-355-S178,16S,17,16S17,HDZ-355-E1,HDZ-355,,,PL008,MIN_16_2024-8-16
HDZ-356-S179,16S,18,16S18,HDZ-356-E1,HDZ-356,,,PL008,MIN_16_2024-8-16
HDZ-357-S180,16S,19,16S19,HDZ-357-E1,HDZ-357,,,PL008,MIN_16_2024-8-16
HDZ-358-S181,16S,20,16S20,HDZ-358-E1,HDZ-358,,,PL008,MIN_16_2024-8-16
HDZ-359-S182,16S,21,16S21,HDZ-359-E1,HDZ-359,,,PL008,MIN_16_2024-8-16
HDZ-360-S183,16S,22,16S22,HDZ-360-E1,HDZ-360,,,PL008,MIN_16_2024-8-16
HDZ-361-S184,16S,23,16S23,HDZ-361-E1,HDZ-361,,,PL008,MIN_16_2024-8-16
PL-NTC-008-CTRL,16S,24,16S24,PL-NTC-008-E1,#N/A,,,PL008,MIN_16_2024-8-16
HDZ-035-S185,16S,1,16S1,HDZ-035-E1,HDZ-035,,,PL009,MIN_16_2024-8-16
HDZ-037-S186,16S,2,16S2,HDZ-037-E1,HDZ-037,,,PL009,MIN_16_2024-8-16
HDZ-040-S187,16S,3,16S3,HDZ-040-E1,HDZ-040,,,PL009,MIN_16_2024-8-16
HDZ-042-S188,16S,4,16S4,HDZ-042-E1,HDZ-042,,,PL009,MIN_16_2024-8-16
HDZ-044-S189,16S,5,16S5,HDZ-044-E1,HDZ-044,,,PL009,MIN_16_2024-8-16
HDZ-047-S190,16S,6,16S6,HDZ-047-E1,HDZ-047,,,PL009,MIN_16_2024-8-16
HDZ-053-S191,16S,7,16S7,HDZ-053-E1,HDZ-053,,,PL009,MIN_16_2024-8-16
HDZ-054-S192,16S,8,16S8,HDZ-054-E1,HDZ-054,,,PL009,MIN_16_2024-8-16
HDZ-069-S193,16S,9,16S9,HDZ-069-E1,HDZ-069,,,PL009,MIN_16_2024-8-16
HDZ-073-S194,16S,10,16S10,HDZ-073-E1,HDZ-073,,,PL009,MIN_16_2024-8-16
HDZ-164-S195,16S,11,16S11,HDZ-164-E1,HDZ-164,,,PL009,MIN_16_2024-8-16
HDZ-165-S196,16S,12,16S12,HDZ-165-E1,HDZ-165,,,PL009,MIN_16_2024-8-16
HDZ-166-S197,16S,13,16S13,HDZ-166-E1,HDZ-166,,,PL009,MIN_16_2024-8-16
HDZ-167-S198,16S,14,16S14,HDZ-167-E1,HDZ-167,,,PL009,MIN_16_2024-8-16
HDZ-178-S199,16S,15,16S15,HDZ-178-E1,HDZ-178,,,PL009,MIN_16_2024-8-16
HDZ-189-S200,16S,16,16S16,HDZ-189-E1,HDZ-189,,,PL009,MIN_16_2024-8-16
HDZ-195-S201,16S,17,16S17,HDZ-195-E1,HDZ-195,,,PL009,MIN_16_2024-8-16
HDZ-197-S202,16S,18,16S18,HDZ-197-E1,HDZ-197,,,PL009,MIN_16_2024-8-16
HDZ-203-S203,16S,19,16S19,HDZ-203-E1,HDZ-203,,,PL009,MIN_16_2024-8-16
HDZ-218-S204,16S,20,16S20,HDZ-218-E1,HDZ-218,,,PL009,MIN_16_2024-8-16
HDZ-265-S205,16S,21,16S21,HDZ-265-E1,HDZ-265,,,PL009,MIN_16_2024-8-16
HDZ-415-S206,16S,22,16S22,HDZ-415-E1,HDZ-415,,,PL009,MIN_16_2024-8-16
HDZ-420-S207,16S,23,16S23,HDZ-420-E1,HDZ-420,,,PL009,MIN_16_2024-8-16
PL-NTC-009-CTRL,16S,24,16S24,PL-NTC-009-E1,#N/A,,,PL009,MIN_16_2024-8-16
HDZ-362-S208,16S,1,16S1,HDZ-362-E1,HDZ-362,,,PL010,MIN_16_2024-8-21
HDZ-363-S209,16S,2,16S2,HDZ-363-E1,HDZ-363,,,PL010,MIN_16_2024-8-21
HDZ-364-S210,16S,3,16S3,HDZ-364-E1,HDZ-364,,,PL010,MIN_16_2024-8-21
HDZ-365-S211,16S,4,16S4,HDZ-365-E1,HDZ-365,,,PL010,MIN_16_2024-8-21
HDZ-366-S212,16S,5,16S5,HDZ-366-E1,HDZ-366,,,PL010,MIN_16_2024-8-21
HDZ-367-S213,16S,6,16S6,HDZ-367-E1,HDZ-367,,,PL010,MIN_16_2024-8-21
HDZ-368-S214,16S,7,16S7,HDZ-368-E1,HDZ-368,,,PL010,MIN_16_2024-8-21
HDZ-369-S215,16S,8,16S8,HDZ-369-E1,HDZ-369,,,PL010,MIN_16_2024-8-21
HDZ-370-S216,16S,9,16S9,HDZ-370-E1,HDZ-370,,,PL010,MIN_16_2024-8-21
HDZ-371-S217,16S,10,16S10,HDZ-371-E1,HDZ-371,,,PL010,MIN_16_2024-8-21
HDZ-372-S218,16S,11,16S11,HDZ-372-E1,HDZ-372,,,PL010,MIN_16_2024-8-21
HDZ-373-S219,16S,12,16S12,HDZ-373-E1,HDZ-373,,,PL010,MIN_16_2024-8-21
HDZ-416-S220,16S,13,16S13,HDZ-416-E1,HDZ-416,,,PL010,MIN_16_2024-8-21
HDZ-417-S221,16S,14,16S14,HDZ-417-E1,HDZ-417,,,PL010,MIN_16_2024-8-21
HDZ-421-S222,16S,15,16S15,HDZ-421-E1,HDZ-421,,,PL010,MIN_16_2024-8-21
HDZ-423-S223,16S,16,16S16,HDZ-423-E1,HDZ-423,,,PL010,MIN_16_2024-8-21
HDZ-424-S224,16S,17,16S17,HDZ-424-E1,HDZ-424,,,PL010,MIN_16_2024-8-21
HDZ-425-S225,16S,18,16S18,HDZ-425-E1,HDZ-425,,,PL010,MIN_16_2024-8-21
HDZ-426-S226,16S,19,16S19,HDZ-426-E1,HDZ-426,,,PL010,MIN_16_2024-8-21
HDZ-431-S227,16S,20,16S20,HDZ-431-E1,HDZ-431,,,PL010,MIN_16_2024-8-21
