LibraryTube	ExtractID	SequenceID	LibPrepDate	Pipeline	LibraryBarcode	LibraryFinalConc	LibraryCode	LibraryPoolVol_ul
5	HDZ-366-E1	HDZ-366-S212	2024-08-21	rapid16s	16S5		PL010	NA
6	HDZ-367-E1	HDZ-367-S213	2024-08-21	rapid16s	16S6		PL010	NA
7	HDZ-368-E1	HDZ-368-S214	2024-08-21	rapid16s	16S7		PL010	NA
8	HDZ-369-E1	HDZ-369-S215	2024-08-21	rapid16s	16S8		PL010	NA
9	HDZ-370-E1	HDZ-370-S216	2024-08-21	rapid16s	16S9		PL010	NA
10	HDZ-371-E1	HDZ-371-S217	2024-08-21	rapid16s	16S10		PL010	NA
11	HDZ-372-E1	HDZ-372-S218	2024-08-21	rapid16s	16S11		PL010	NA
12	HDZ-373-E1	HDZ-373-S219	2024-08-21	rapid16s	16S12		PL010	NA
8	HDZ-374-E1	HDZ-374-S284	2024-08-30	rapid16s	16S8		PL013	NA
9	HDZ-375-E1	HDZ-375-S285	2024-08-30	rapid16s	16S9		PL013	NA
10	HDZ-376-E1	HDZ-376-S286	2024-08-30	rapid16s	16S10		PL013	NA
11	HDZ-377-E1	HDZ-377-S287	2024-08-30	rapid16s	16S11		PL013	NA
12	HDZ-378-E1	HDZ-378-S288	2024-08-30	rapid16s	16S12		PL013	NA
13	HDZ-379-E1	HDZ-379-S289	2024-08-30	rapid16s	16S13		PL013	NA
14	HDZ-380-E1	HDZ-380-S290	2024-08-30	rapid16s	16S14		PL013	NA
5	HDZ-381-E1	HDZ-381-S327	2024-09-09	rapid16s	16S5		PL015	NA
6	HDZ-382-E1	HDZ-382-S328	2024-09-09	rapid16s	16S6		PL015	NA
7	HDZ-383-E1	HDZ-383-S260	2024-08-30	rapid16s	16S7		PL012	NA
8	HDZ-384-E1	HDZ-384-S261	2024-08-30	rapid16s	16S8		PL012	NA
9	HDZ-385-E1	HDZ-385-S262	2024-08-30	rapid16s	16S9		PL012	NA
