tax	NTC1-CTRL	NWR-003-S1	NWR-032-S2	NWR-036-S3	NWR-089-S4	NWR-102-S5	NWR-103-S6	NWR-107-S7	NWR-108-S8	NWR-114-S9	NWR-115-S10	NWR-116-S11	NWR-117-S12	NWR-118-S13	NWR-119-S14	NWR-121-S23	NWR-122-S21	NWR-126-S17	NWR-127-S19	NWR-130-S18	NWR-151-S20	NWR-153-S22	NWR-154-S16	NWR-156-S15	total
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia humptydooensis	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	429
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc mesenteroides	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	91	0	83	123	0	19	0	0	107	428
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus;Lactiplantibacillus pentosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	428
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Robinsoniella;Robinsoniella peoriensis	0	0	0	0	366	0	0	0	2	27	0	0	5	0	0	0	0	0	0	26	1	0	0	0	427
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter braakii	0	13	0	0	0	9	3	0	0	1	0	0	0	0	0	5	1	0	0	4	0	0	0	376	412
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;Erwinia iniecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	401
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter murliniae	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	378	397
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	0	380	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	384
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans	0	11	0	0	0	0	5	1	0	199	0	7	6	10	5	0	0	22	0	84	7	1	0	21	379
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	1	60	0	0	1	0	33	2	0	74	0	4	52	1	2	0	0	4	0	4	1	0	0	127	366
